topicId,words..
1,crsh www photo ow quito ly social gc ottawa genomecanada
2,canada false ly recherche pcouperus bit community sur digital au
3,canada rt eastern www research ottawa ontario talkgaming scitechmuseum innovationca
4,com false sshrcimpact canadian carleton thinking stevegaetz drrashidsumaila winners phd
5,ca false fd faculty paper studies profkprince html qc great
6,false qiita ssh ja vimrc bashrc ikuwow tokyo hatena jp
7,com research www mitacscanada mitacs indigenous feb innovation design kekinusuqs
8,false pacific grant cdnpse centre new student alberta merissadaborn results
9,budget cihr nserc irsc crsng sciencemin toronto research additional annually
10,com rt university education atlantic learning mcgill yorku project dr
